index,Drug_Name,Reason,Description,Description_Length
8944,apiz md 5mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
8945,apz 10mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
8946,aquiti 25mg tablet 10'saquiti 50mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8947,aquiti sr 200mg tablet 10'saquiti sr 100mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8948,ariday 15mg tablet 10'sariday 5mg tablet 10'sariday 10mg tablet 10'sariday 2.5mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
8949,aridus 30mg tablet 10'saridus 20mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
8950,arifine 10mg tablet 10'sarifine 5mg tablet 10'sarifine 30mg tablet 10'sarifine 20mg tablet 10'sarifine 15mg tablet 10'sarifine 2.5mg tablet 10'sarifine 7.5mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8951,arifril 10mg tablet 10'sarifril 15mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8952,arip 5mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
8953,arip mt 15mg tablet 10'sarip mt 30mg tablet 10'sarip mt 5mg tablet 10'sarip mt 20mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
8954,ariphrenz 30mg tablet 10'sariphrenz 10mg tablet 10'sariphrenz 20mg tablet 10'sariphrenz 5mg tablet 10'sariphrenz 15mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8955,aripicad 15mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8956,aripiren 15mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
8957,ariza 10mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
8958,arize 30mg tablet 10'sarize 10mg tablet 10'sarize 20mg tablet 10'sarize 5mg tablet 10'sarize 15mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8959,arpit 15mg tablet 10'sarpit 10mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8960,arpizol 5mg tablet 10'sarpizol 30mg tablet 10'sarpizol 20mg tablet 10'sarpizol 10mg tablet 10'sarpizol 15mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
8961,arzu 15mg tablet 10'sarzu 10mg tablet 10'sarzu 30mg tablet 10'sarzu 20mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
8962,asenapt 5mg tablet 10'sasenapt 10mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8963,asprito 15mg tablet 10'sasprito 10mg tablet 10'sasprito 30mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8964,asprito mt 15mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
8965,azin 5mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8966,bilif 10mg tablet 10'sbilif 15mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8967,cizorest od 400mg tablet 10'scizorest od 100mg tablet 10'scizorest od 200mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
8968,clomach 100mg tablet 10'sclomach 25mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
8969,clozet 100mg tablet 10'sclozet 25mg tablet 10'sclozet 50mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8970,conquet 25mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8971,definium 10mg tablet 10'sdefinium 5mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
8972,emsidon 80mg tablet 10'semsidon 40mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
8973,fludecan 25mg injection 2ml,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8974,franxit 0.5/10mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8975,halocalm 5mg tablet 10'shalocalm 10mg tablet 10'shalocalm 0.25mg tablet 10'shalocalm 1.5mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
8976,halopidol 5mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
8977,hexidol 10mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8978,ilobril 4mg tablet 2'silobril 6mg tablet 10'silobril 8mg tablet 10'silobril 1mg tablet 2's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8979,ilopride 2mg tablet 10'silopride 6mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
8980,ilopt 6mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8981,ilosure 2mg tablet 10'silosure 6mg tablet 10'silosure 1mg tablet 10'silosure 8mg tablet 10'silosure 4mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8982,jolyon md 7.5mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
8983,jotal tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
8984,kaytrix c tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8985,kloza 50mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8986,kola 20mg tablet 10'skola 15mg tablet 10'skola 7.5mg tablet 10'skola 10mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
8987,lanopin 15mg tablet 10'slanopin 2.5mg tablet 10'slanopin 5mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
8988,lanopin md 15mg tablet 10'slanopin md 5mg tablet 10'slanopin md 10mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8989,loxabol 10mg capsule 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8990,loxapac 10mg capsule 10'sloxapac 25mg capsule 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
8991,loxapac c liquid 15ml,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
8992,lozapin 100mg tablet 10'slozapin 25mg tablet 10'slozapin 50mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8993,lurastar 40mg tablet 10'slurastar 80mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8994,lurata 80mg tablet 10'slurata 40mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
8995,manza 20mg tablet 10'smanza 2.5mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
8996,maxpride 200mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
8997,melleril 25mg tablet 20's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8998,meltolan 2.5mg tablet 10'smeltolan 5mg tablet 10'smeltolan 10mg tablet 10'smeltolan 7.5mg tablet 10'smeltolan 20mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
8999,meltonz md 5mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
9000,movapin 10mg tablet 10'smovapin 5mg tablet 10'smovapin 15mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
9001,neocalm plus tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9002,olace 15mg tablet 10'solace 20mg tablet 10'solace 7.5mg tablet 10'solace 2.5mg tablet 10'solace 5mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9003,olagress md 2.5mg tablet 10'solagress md 5mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
9004,olan 10mg tablet 10'solan 2.5mg tablet 10'solan 15mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
9005,olan md 10mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9006,olandus 5mg tablet 10'solandus 10mg tablet 10'solandus 7.5mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9007,olanex 10mg tablet 10'solanex 5mg tablet 10'solanex 15mg tablet 10'solanex 2.5mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
9008,olanex ins 2.5mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
9009,olanex it 5mg tablet 10'solanex it 10mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9010,olapax 10mg tablet 10'solapax 2.5mg tablet 10'solapax 7.5mg tablet 10'solapax 5mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9011,olapax md 2.5mg tablet 10'solapax md 5mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
9012,olapin 7.5mg tablet 10'solapin 10mg tablet 10'solapin 5mg tablet 10'solapin 20mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
9013,olaweb 2.5mg tablet 10'solaweb 10mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9014,olay 15mg tablet 10'solay 20mg tablet 10'solay 7.5mg tablet 10'solay 2.5mg tablet 10'solay 5mg tablet 10'solay 10mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9015,olay md 10mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
9016,oleanz 10mg tablet 10'soleanz 5mg tablet 10'soleanz 2.5mg tablet 10'soleanz 7.5mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
9017,oleanz rapitab 20mg tablet 10'soleanz rapitab 2.5mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9018,oleanz rt 10mg tablet 10'soleanz rt 15mg tablet 10'soleanz rt 5mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9019,olee 15mg tablet 10'solee 20mg capsule 10'solee 7.5mg tablet 10'solee 2.5mg tablet 10'solee 10mg tablet 10'solee 5mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
9020,olee forte tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
9021,olee md 5mg tablet 10'solee md 10mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9022,olez 10mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9023,olimelt 5mg tablet 10'solimelt 7.5mg tablet 10'solimelt 10mg tablet 10'solimelt 20mg tablet 10'solimelt 2.5mg tablet 10'solimelt 15mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
9024,oline 15mg tablet 10'soline 10mg tablet 10'soline 20mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9025,oline md 10mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9026,olins 10mg tablet 10'solins 5mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
9027,olinstab 5mg tablet 10'solinstab 7.5mg tablet 10'solinstab 10mg tablet 10'solinstab 2.5mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
9028,oliramp 5mg tablet 10'soliramp 10mg tablet 10'soliramp 20mg tablet 10'soliramp 7.5mg tablet 10'soliramp 15mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9029,olisense dt 10mg tablet 10'solisense dt 5mg tablet 10'solisense dt 2.5mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9030,oliza 10mg tablet 10'soliza 5mg tablet 10'soliza 2.5mg tablet 10'soliza 15mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
9031,oliza pet 10mg tablet 30'soliza pet 5mg tablet 30's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
9032,olnapra 2.5mg tablet 10'solnapra 5mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9033,olnapra md 7.5mg tablet 10'solnapra md 15mg tablet 10'solnapra md 20mg tablet 10'solnapra md 10mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9034,olpine 7.5mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
9035,oltha 15mg tablet 10'soltha 20mg tablet 10'soltha 10mg tablet 10'soltha 2.5mg tablet 10'soltha 5mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
9036,oltha r 15mg tablet 10'soltha r 20mg tablet 10'soltha r 7.5mg tablet 10'soltha r 10mg tablet 10'soltha r 2.5mg tablet 10'soltha r 5mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9037,olzic 5mg tablet 10'solzic 2.5mg tablet 10'solzic 10mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9038,opin 7.5mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
9039,opticon md 2.5mg tablet 10'sopticon md 10mg tablet 10'sopticon md 5mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9040,oxalitero 100mg injection 1's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9041,ozapin md 10mg tablet 10'sozapin md 7.5mg tablet 10'sozapin md 2.5mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
9042,ozatex 7.5mg tablet 10'sozatex 10mg tablet 10'sozatex 2.5mg tablet 10'sozatex 5mg tablet 10'sozatex 15mg tablet 10'sozatex 20mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
9043,peridon 4mg tablet 10'speridon 1mg tablet 10'speridon 3mg tablet 10'speridon 2mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9044,placidin 25mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9045,placidin xr 50mg tablet 10'splacidin xr 400mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
9046,q mind 25mg tablet 10'sq mind 50mg tablet 10'sq mind sr 100mg tablet 10'sq mind 100mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
9047,q mind sr 200mg tablet 10'sq mind sr 50mg tablet 10'sq mind sr 300mg tablet 10'sq mind sr 400mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9048,q pin 50mg tablet 10'sq pin 25mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9049,q pin sr 400mg tablet 10'sq pin sr 200mg tablet 10'sq pin sr 300mg tablet 10'sq pin sr 100mg tablet 10'sq pin sr 50mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
9050,q win 25mg tablet 10'sq win sr 50mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
9051,q win sr 100mg tablet 10'sq win sr 200mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9052,qpen 50mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9053,qta sr 50mg tablet 10'sqta sr 200mg tablet 10'sqta sr 100mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
9054,queency 50mg tablet 10'squeency 25mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
9055,quel 100mg tablet 10'squel 25mg tablet 10'squel 200mg tablet 10'squel 50mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
9056,quel sr 50mg tablet 10'squel sr 200mg tablet 10'squel sr 100mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9057,quetalent 50mg tablet 10'squetalent 25mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9058,quetalent sr 200mg tablet 10'squetalent sr 100mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
9059,quetia 25mg tablet 10'squetia 50mg tablet 10'squetia sr 100mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
9060,quetia sr 200mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9061,quetigress 50mg tablet 10'squetigress 25mg tablet 10'squetigress 100mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9062,quetigress sr 300mg tablet 10'squetigress sr 200mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
9063,quital 25mg tablet 10'squital 100mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
9064,quitibrus 100mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9065,qupin 50mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9066,quser 50mg tablet 10'squser 100mg tablet 10'squser 25mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
9067,quser xl 200mg tablet 10'squser xl 300mg tablet 10'squser xl 100mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
